n,p,v
革命,を,はじめる
仕事,を,する
人々,と,対談
喪失,に,直面
そこ,から,働く
創造力,を,働く
訓,を,紹介
話,を,聞く
創造力,を,育む
嘘,を,つく
欄,を,ごまかす
メール,で,いる
嘘,を,蔓延
上,で,記録
性,に,保つ
正直,を,保つ
体,に,与える
ダメージ,を,与える
悲劇,を,語る
こと,を,通す
たち,を,救う
方法,で,救う
孤児院,に,頼る
こと,を,やめる
顕微鏡,で,撮影
遊園地,に,ある
世界,を,紹介
社会貢献,に,携わる
一方,で,もたらす
世界,に,もたらす
大惨事,を,もたらす
課題,に,共通
対応,に,貢献
過程,で,得る
目的,を,得る
居場所,を,得る
自尊心,を,得る
話,を,贈る
幸福,を,感じる
問,に,収集
データ,を,収集
アプリ,を,開発
被験者,に,報告
度,を,報告
こと,に,没頭
こと,に,集中
弟,と,育つ
共,に,育つ
話,を,語る
こと,を,超える
人生,を,追求
たち,から,学ぶ
口ひげ,に,ある
月,に,生やす
達,に,生やす
口ひげ,を,生やす
知識,を,普及
年,に,誓う
バー,で,誓う
きっかけ,で,始まる
去年,で,集める
ため,に,集める
募金,を,集める
健康,を,考える
社会,で,見なす
態度,を,見直す
生態,に,得る
ゲノム,に,隠す
実際,に,する
それ,を,する
必要,と,する
人々,に,届く
こと,を,証明
防止,に,する
取り組み,を,する
インパクト,を,最大
ガイドライン,を,提起
仕組み,を,変革
データ,を,結びつける
援助,を,変える
信頼,を,失う
アフガニスタン,に,出来る
理想,と,再建
主義,を,再建
市民,に,認識
暦,を,表す
ゴーグル,を,つける
とも,に,見る
マジック,を,披露
パフォーマンス,で,見る
問題,を,修正
tedglobal,で,披露
窓,で,もたらす
視界,を,もたらす
冷却,に,する
エネルギー,を,する
必要,と,する
環境,に,応ずる
マテリアル,に,取り組む
日除け,と,なる
文学,に,なる
孤児,と,なる
テーマ,と,なる
過去,を,隠す
心,を,揺すぶる
もと,に,聞く
話,を,聞く
選挙,で,投票
実験,に,基づく
関係,を,する
世界,に,生きる
国境,を,越える
データ,と,乖離
データ,に,乖離
それ,を,編集
ライブ,で,編集
ステージ,で,披露
maker,を,披露
ポップアップ,を,付ける
説明責任,を,負う
年,に,する
用途,を,する
公,に,する
きっかけ,と,なる
公開,を,要求
仕組み,を,利用
達,に,投げかける
疑問,を,投げかける
不正,を,暴く
遊ぶ,に,共通
科学,に,取り組む
プロセス,を,変える
認識,を,変える
共,に,遂行
プロジェクト,を,遂行
論文,を,生む
ところ,に,始まる
ところ,で,始まる
検査,を,受ける
法律,に,制限
収集,を,制限
仮説,を,検証
誰,で,使える
記録,を,使える
研究,を,遅らせる
波,を,促す
記録,を,プール
スピード,で,変化
こと,を,する
スピード,に,追いつける
語り口,で,向上
生産性,を,向上
変化,を,理解
失敗,を,許す
がかり,で,探す
層,と,なる
中,に,隠す
過程,で,発見
こと,を,発見
絵画,を,見る
体験,に,含める
絵画,に,秘める
門外漢,と,送る
科学者,に,送る
メッセージ,を,送る
こと,に,ある
アイデア,を,紹介
人,に,紹介
時,に,なる
コツ,を,語り明かす
分,で,語り明かす
私,に,語る
科学,を,語る
同情,を,買う
前,に,患う
的,を,患う
偏見,を,なくす
ユーモア,で,語る
講演,を,届ける
群,を,紹介
締めくくり,と,示す
姿,を,示す
評判,を,制御
時代,が,する
時代,と,する
喪失,を,受け入れる
それ,に,向ける
デザイン,を,する
価値,に,投じる
身,を,投じる
アイデア,を,提示
制御,を,手放す
仕事,に,考える
芸術品,を,選ぶ
作品,に,まつわる
物語,を,学べる
環境,を,作る
そこ,に,配置
作品,を,配置
とも,に,教える
展覧会,に,教える
生きる,を,教える
展示室,で,つむぐ
物語,を,つむぐ
自分,で,作り上げる
コンピュータ,を,作り上げる
カリキュラム,を,開発
教材,を,公開
ネット,で,公開
こと,に,驚く
1人,で,やる
授業,に,使う
欲求,を,引き出す
心,を,捉える
テロ,と,戦う
信頼感,を,弱める
リクルート,を,妨害
スピーチ,で,論ずる
考え方,に,基づく
実例,を,紹介
医師,に,なる
奏者,に,なる
中間,に,ある
手,に,持つ
バイオリン,を,持つ
意識,を,抱く
周縁,に,いる
医学,で,いく
領域,で,上げる
成果,を,上げる
力,に,語る
見方,に,影響
見方,に,影響
自信,に,溢れる
とき,で,取る
ポーズ,を,取る
人,を,作る
データ,に,表れる
計画,を,語る
気候,に,対処
中,に,作る
経験,に,注目
可能性,に,注目
地図,と,異なる
配線図,と,似る
地図,から,学ぶ
こと,を,生かせる
デザイン,に,生かせる
例,に,話す
デザイン,に,話す
NO,を,表す
以前,から,魅く
文字,に,魅く
年,に,広がる
内,で,広がる
文字,を,描く
道端,に,描く
スプレー,で,描く
暴力,に,突きつける
NO,を,突きつける
際,に,公開
ため,に,公開
例外,を,除く
じまい,と,なる
闇,に,取りのこす
判断,を,誤る
トーク,で,説明
もの,を,説明
github,を,活用
時,に,対立
洪水,に,対処
世界,で,学ぶ
方法,を,学ぶ
政府,に,できる
知恵,を,生かせる
インターネット,から,学べる
講演,で,語る
教訓,に,語る
政治,を,変える
機能的,を,使う
活動,を,調べる
システム,を,解明
概要,を,紹介
脳,から,わかる
記事,を,書く
仕事,に,進歩
人間,を,する
必要,と,する
これ,から,いう
仕事,を,担う
データ,に,基づく
流れ,を,見る
アンドロイド,に,奪う
仕事,を,奪う
広がり,を,見せる
ウェブ,を,共有
スキル,が,共有
システム,を,する
通貨,を,探索
結び目,を,作る
練習,を,する
医学生,に,出会う
人生,を,変える
永遠,に,変える
血,に,染まる
機器,に,ある
原因,と,なる
採掘,と,関連
物語,に,触れる
行動,を,起こす
ケーブル,を,噛む
何,で,できる
きっかけ,に,思う
疑問,に,思う
真実,を,確かめる
そこ,で,出る
旅,に,出る
インターネット,を,形成
もの,を,紹介
原因,で,聞き落す
半分,を,聞き落す
騒音,に,絶える
ストレス,を,感ずる
障害,に,陥る
特性,を,考慮
術,に,注目
デザイナー,に,呼びかける
大人,に,比べる
皮質,を,比較
脳,に,ある
こと,を,する
近く,を,廃棄
基,に,呼びかける
方,を,呼びかける
革命,から,学ぶ
何,を,学ぶ
トーク,で,共有
ビジョン,を,共有
市民,を,つなぐ
データ,を,共有
真,に,参加
社会,を,想像
身体,を,使う
可能性,を,考える
ステージ,で,創り上げる
共,に,創り上げる
即興,で,創り上げる
フレーズ,を,創り上げる
プロセス,で,伝える
観客,に,伝える
アイディア,を,伝える
実演,を,交える
幹細胞,を,呼ぶ
道具,と,呼ぶ
研究室,で,育てる
幹細胞,を,用いる
研究,を,提唱
株,を,育てる
研究,を,促進
環境,を,作り上げる
人,を,する
対象,と,する
医療,に,つながる
労働者,と,離れる
故郷,を,離れる
工場,で,働く
世界中,で,売る
もの,を,作る
工業都市,で,働く
姿,を,取材
世界中,で,苦しむ
精神疾患,に,苦しむ
国,で,受ける
ケア,を,受ける
途上国,で,受ける
手当,を,受ける
解決法,を,描く
地域社会,に,属する
処置,を,できる
ケア,を,できる
健康,を,届ける
力,で,届ける
犯罪,を,記憶
証言,を,する
研究,を,する
時,に,起こる
空白,を,嫌う
故,に,造りあげる
記憶,を,造りあげる
事例,に,語る
事実,を,語る
あて,に,なる
都市,で,暮らす
発明,を,紹介
様子,を,語る
代替,と,なる
開発,に,向ける
排水,を,する
源,と,する
藻類,から,得る
燃料,を,得る
プロジェクト,に,取り組む
これ,を,普及
エネルギー源,と,普及
海,に,浮かべる
姿,を,制作
作品,を,通す
中,に,感じる
周り,に,感じる
こと,で,感ずる
彫刻,に,なる
なし,で,存在
世界,を,悩ます
問題,を,解決
計算,で,できる
テロリスト,を,捕まえる
目,に,見える
兆候,を,見つける
創造力,を,する
関係,に,する
こと,に,もたらす
年間,に,過ごす
マーケット,で,過ごす
カート,を,押す
商人,から,聞く
話,を,聞く
注目,を,集める
ネットワーク,を,研究
エフェクト,を,駆使
時,に,超える
リアリティ,を,高める
例,に,聞く
考え,を,聞く
語り,で,聞く
ため,に,デザイン
保育器,を,デザイン
製品化,に,失敗
教訓,を,学ぶ
使用,に,役立つ
正気,を,分ける
サイコパス,を,探す
話,を,通す
間,に,ある
ゾーン,を,する
ため,に,高まる
これ,を,管理
竜巻,に,見舞う
復興,に,向ける
指揮,を,とる
ノウハウ,を,広める
人々,に,広める
今,で,取り組む
活動,に,取り組む
文化,を,形成
革命,から,至る
科学,に,至る
主義,を,成り立つ
信頼,を,浸食
浸食,を,示す
言葉,を,選ぶ
言葉,で,支配
現実,を,支配
称号,を,する
大統領,に,する
語源,に,語る
結論,に,至る
ロンドン,で,行う
世界中,を,旅
現実,を,記録
ネパール,で,運び出す
レンガ,を,運び出す
心,に,残る
写真,を,紹介
人,に,上る
窮状,を,訴える
アイディア,を,借りる
リミックス,を,受け入れる
空き地,を,使う
植物,を,植える
共,に,変える
空き地,を,変える
畑,に,変える
トーク,を,聞く
震え,に,苦しむ
世界中,で,のぼる
世界中,に,のぼる
人,に,のぼる
早期発見,に,つながる
電話,を,使う
方法,で,診断
精度,で,診断
病,を,診断
電話,で,行う
対立,を,避ける
彼女,と,反する
彼女,に,反する
考え,に,同調
対立,を,容認
容認,を,教える
暴力,に,対抗
人間味,に,溢れる
話,を,通す
個人,と,つける
身,に,つける
力,に,頼る
暴力,と,戦う
方法,を,教える
歴史,に,刻む
名,を,刻む
平和的,を,支える
哲学,を,挙げる
例,に,挙げる
理由,に,語る
非暴力,で,戦う
協奏曲,を,作曲
へん,に,ある
品物,を,使う
楽器,を,作り上げる
ルール,を,打破
方法,で,制作
音楽,を,制作
仕事,に,携わる
視聴者,に,喚起
インスピレーション,を,喚起
ルール,に,かける
揺さぶり,を,かける
年,に,発生
とも,に,紛失
津波,に,する
加工,を,する
専門,と,する
現地,に,入る
ネット,で,呼びかける
写真,を,修復
記録,を,再生
一緒,に,する
支援,を,する
修復,を,触れる
人生,に,触れる
好奇心,を,そそる
授業,を,公開
無料,で,公開
ネット,に,公開
大学,を,口説く
サービス,を,提供
学ぶ,を,研究
機会,を,与える
吸収,を,示す
つ,から,収集
データ,を,収集
アイデア,を,持つ
問題,を,抱える
土地,で,作る
達,と,作る
共,に,作る
庭,を,作る
植物,を,栽培
関心,を,育む
雇用,を,生む
土地,で,育む
希望,を,育む
方法,に,傾ける
耳,を,傾ける
ブロンクス,で,育てる
野菜,を,育てる
国内,から,主宰
年間,に,主宰
ブログ,を,主宰
インターネット,を,検閲
北京,に,設置
下,に,ある
人,に,のぼる
世論,を,形成
関係,を,シフト
方向,に,シフト
地帯,から,消す
姿,を,消す
農業,に,与える
影響,を,与える
こと,に,懸念
一方,で,栄える
都市部,で,栄える
ミツバチ,を,する
必要,と,する
ミツバチ,を,救う
提案,を,行う
都会,で,育てる
ミツバチ,を,育てる
分裂,に,得る
ヒント,を,得る
面,を,持つ
手作業,で,描く
誰,に,出来る
実際,に,構築
方法,で,起こす
形,に,起こす
革新,を,起こす
形,を,造る
フォトグラフィー,を,紹介
向こう,を,見通す
線,を,用いる
体内,を,観察
カメラ,に,使う
絵画,を,観る
背景,に,作る
物語,を,作る
何,を,語る
ベストセラー,と,なる
絵,から,紡ぎ出す
物語,を,聴く
さん,に,聴く
絵画,に,見つける
情報,を,収集
会社,に,要求
開示,を,要求
収集,に,する
回,に,無視
訴訟,を,経る
行,に,渡る
データ,を,受け取る
単位,で,更新
ヶ月,を,映し出す
作業,を,通す
所,を,想像
行動,から,紹介
場面,を,紹介
セキュリティ,に,架ける
橋,を,架ける
必要,を,説明
全体,を,見る
スマートフォン,を,手入れ
部品,を,使う
ショップ,で,行う
手作業,で,行う
修理,を,行う
技術力,を,利用
プロジェクタ,を,作り上げる
等,から,作り上げる
ツール,を,作り上げる
クラフト,に,語る
代,に,始まる
蒸気,を,する
動力,と,する
機能,を,超える
未来,を,見通す
機関,と,物語る
見通す,に,物語る
色盲,と,生まれる
頭,に,装着
色,を,変換
音,に,変換
目,に,映る
色彩,に,溢れる
常,に,聴く
シンフォニー,を,聴く
耳,で,聴く
色,を,聴く
デモ,を,行う
オーラズマ,を,使う
スマートフォン,を,通す
世界,に,吹き込む
生命,を,吹き込む
枠,を,越える
肖像画,に,喋る
上,で,見る
中継,を,見る
技術,を,利用
直感,に,反する
次第,に,する
場面,に,あてはまる
研究,を,紹介
扉,を,開く
生死,に,かかわる
コントロール,を,手放す
決定,に,なる
最良,と,なる
こと,を,語る
防止,を,する
はじめ,と,する
実現,に,向ける
事例,を,解説
クラウドソーシング,に,促す
参加,を,促す
活動,を,建て直す
クラウドソーシング,で,達成
どれ,が,なる
腫瘍,に,なる
信号,に,左右
研究,を,続ける
年,に,続ける
間違い,を,示す
実験,に,話す
理解,に,つながる
プロジェクション,を,用いる
交友,を,記録
ミキサー,に,詰め込む
思い出,を,詰め込む
ビデオアート,に,詰め込む
近未来,を,予測
精度,を,持つ
発信機,に,なる
うち,に,追跡
行動,を,追跡
悪用,に,行く
結果,を,招く
GPS,を,やる
ステージ,に,持ち込む
火,を,持ち込む
私達,に,与える
感覚,を,与える
与える,を,する
そこ,から,進む
分析,に,進む
創造性,を,高める
高める,を,分析
デザイン,で,設計
ユーザーインターフェース,を,設計
趣味,と,追求
表現,を,追求
こと,に,ある
発展,に,悪化
姿,を,描き出す
あなた,より,誕生
事故,を,起こす
km,で,走る
研究開発,を,行う
研究,から,する
認識,を,する
微生物,に,覆う
私たち,を,する
病気,に,する
微生物,に,知る
健康,を,維持
方法,を,語る
病床,に,付く
アイデア,を,思い付く
科学的,を,織り込む
力,を,高める
人生,に,付け加える
半,を,付け加える
講演,で,語る
ゲーム,で,長生き
YouTube,で,見る
演奏,を,見る
技,を,覚える
フェロー,に,選ぶ
ステージ,で,演奏
演奏,を,聞く
場,で,生み出す
演奏,を,生み出す
ヒーロー,に,出会う
年,に,起きる
影響,に,する
耳,に,する
仕事,を,辞める
ニューオーリンズ,に,引っ越す
原油,を,除去
方法,を,開発
機動性,を,持つ
範囲,を,できる
それ,で,得る
利益,を,得る
設計,を,する
オープンソース,に,する
道,を,選ぶ
計画,を,持つ
遺産,と,残す
後,に,残す
何,を,残す
思考,を,する
我々,に,説く
病,を,患う
姿,を,する
目の当たり,に,する
反応,を,示す
問題,を,見る
視点,から,見る
病,に,なる
とき,に,備える
準備,を,する
病,に,なる
準備,を,する
重量,を,持つ
もの,を,浮遊
固定,と,呼ぶ
ディスク,を,浮遊
上,に,浮遊
実演,で,説明
仕組み,を,説明
目,を,する
釘付け,に,する
体,を,浮遊
オフィス,を,壊す
質問,を,投げかける
医者,に,投げかける
年,に,語る
経験,を,語る
公,に,語る
セラピー,に,落ち着く
病気,を,抱える
患者,を,もつ
思いやり,を,もつ
とき,から,つながる
技術,に,浸かる
以上,に,なる
講演,で,挙げる
原則,を,挙げる
もの,に,なる
理由,を,説明
たち,を,触発
限り,を,尽くす
数々,を,作る
もの,を,作る
報,に,触発
遊び,を,よみがえる
tedxsummit,に,語る
断片,を,巡る
魅惑,に,満ちる
宇宙,に,始める
方,を,する
必要,と,する
科学者,に,語り掛ける
経験,を,通す
本,から,得る
教訓,を,語る
創造性,に,ある
こと,を,思い起こす
インド,から,発信
目,に,見える
イノベーション,を,分類
つ,に,分類
製造業,を,アウトソース
部,が,移る
インド,に,移る
原因,を,説明
目,に,見える
探査機,を,買う
太陽系,を,探検
研究所,より,披露
solar system,を,披露
ソフトウェア,を,使う
周り,を,飛行
リアルタイム,で,飛行
無料,で,楽しむ
自宅,から,行ける
太陽,に,照りつける
経験,と,なる
ドーハ,で,開催
足下,から,冷やす
デザイン,を,紹介
スタジアム,を,空調
共,に,教える
大学,で,教える
授業,を,教える
教室,で,受ける
講義,を,受ける
以上,が,受講
以上,が,受講
キャスト,で,受講
世界,に,広がる
教室,で,教える
体験,から,学ぶ
事,を,語る
マッピング,と,飛び出す
絵本,を,組み合わせる
話,を,聞く
ギーク,と,言う
電気,に,かける
野球,から,学ぶ
教訓,を,用いる
講演,で,語る
解決,に,語る
前,に,起きる
判決,を,減らす
方法,を,探す
うち,に,気づく
トーク,で,紹介
話,を,伝える
女性,に,語る
情報源,と,現れる
メディア,に,現れる
それ,に,伝える
中,で,語る
女性,を,語る
勝利,に,ある
トーク,で,語る
貢献,を,語る
情熱,から,生み出す
オリー,で,飛ぶ
イノベーション,を,創る
メッセージ,を,くる
ユーモア,に,くる
文明,で,失う
糸口,を,探す
画像,を,用いる
中,で,紹介
例,を,紹介
宇宙,から,見る
世界観,を,生み出す
フッド,に,至る
映画,から,取り上げる
シーン,を,取り上げる
映画,を,共有
間,で,共有
共有,を,教える
素晴らしい,を,共有
観客,に,投げかける
質問,を,投げかける
習慣,を,改善
冬,に,処方
暖房,を,処方
熱意,を,持つ
活動,を,行う
達,に,行う
ステージ,で,紹介
組織,を,紹介
健康,を,維持
カタログ,で,見つける
車輪,を,見つける
意図,を,持つ
人生,を,デザイン
意義,を,語る
人生,を,する
向上,に,つながる
自閉症,を,引き起こす
視線,を,追跡
社会,と,関わる
能力,を,測定
危険性,を,認定
法,に,語る
現代,を,象徴
物体,に,語る
デザイン,を,語る
デザイン,を,語る
世界中,で,拡大
水,を,採取
海,から,採取
興味,を,そそる
talk,で,提案
アイディア,を,提案
鉱物,を,食べる
バクテリア,を,利用
苦汁,から,取り出す
鉱物,を,取り出す
海水,から,採掘
鉱物,を,採掘
未知数,を,表す
x,で,表す
トーク,で,教える
答え,を,教える
tedmed,に,知る
部分,に,知る
過程,で,知る
空間,を,経る
tedxsummit,で,紹介
現在,を,紹介
証拠,を,紹介
種,に,なる
こと,で,する
個人名,を,する
必要,と,する
方法,を,提案
個人情報,を,守る
以内,に,発見
生命体,を,発見
賭け,を,申し出る
コーヒー,を,おごる
社会,を,発見
こと,に,受ける
影響,を,受ける
特殊効果,を,合わせる
つ,に,合わせる
2012,で,披露
価値観,を,表現
デザイン,に,投影
私たち,に,教える
春,に,至る
役割,に,注目
結果,を,語る
春,を,点火
写本,を,解読
加速器,を,使う
裏,に,隠す
話,を,語る
日常生活,に,とけ込む
何,を,自問
ロボット,と,働く
教訓,を,語る
エネルギー,を,賄う
エネルギー,で,賄う
数式,を,用いる
エネルギー,に,する
理由,を,説明
ボックス,を,凌ぐ
論理,を,する
オフ,に,する
詩,を,織り交ぜる
ジャンル,を,飛びこえる
パフォーマンス,を,見せる
ボックス,を,凌ぐ
とも,に,ある
ドーハ,で,行う
侮辱,に,基づく
蔓延,を,助長
伝染,と,闘う
マジシャン,に,ある
歳,で,出会う
手品,に,出会う
間,を,渡る
綱,で,渡る
語り口,で,見る
者,を,誘う
旅,に,誘う
綱,を,渡る
宗教,に,異なる
増加,に,影響
ドーハ,で,行う
チャート,を,駆使
サミット,で,導き出す
視点,で,導き出す
結論,を,導き出す
月,に,行く
大陸,を,記す
地図,に,記す
部分,に,到達
もの,と,残る
答え,を,示す
目,に,見える
もの,に,残る
地,で,使う
住宅,を,デザイン
情熱,を,持つ
1人,で,造る
こと,を,決意
住宅,を,紹介
次,に,来る
災害,に,備える
余暇,を,返上
者,と,取り組む
様子,に,語る
年,に,望む
プロジェクト,に,参加
世界,に,知る
真実,を,知る
ポスター,を,貼る
場,に,貼る
地域,と,連帯
変化,を,もたらす
世界,を,ひっくり返せる
こと,を,見せる
世界,を,ひっくり返す
目,を,見張る
進歩,に,ある
ニューロン,を,調べる
数々,を,使う
中身,を,見せる
ツール,を,紹介
中身,を,見る
人,に,分かれる
人,が,持つ
体験,を,通す
自信,を,築く
方法,に,語る
クリエイティビティ,に,持つ
自信,を,持つ
数学,を,使う
歴史,に,語れる
何,を,語れる
例,を,取り上げる
根底,に,ある
姿,を,見せる
こと,を,紹介
面,を,見る
結果,に,作る
こと,を,示唆
こと,を,説明
習性,を,利用
蚊,を,駆逐
錠剤,を,使う
マラリア,を,根絶
研究,を,紹介
蚊,を,殺す
マラリア,を,撲滅
found,を,見る
私たち,に,紹介
ショー,を,紹介
関係,を,築ける
こと,を,紹介
ページ,に,まつわる
順序,を,暗記
組,で,暗記
宮殿,と,名付ける
テクニック,に,説明
特徴,に,話す
誰,で,できる
誰,で,できる
ため,に,撮影
2012,で,紹介
映像,を,紹介
方法,で,する
食事,を,する
バット,を,捉える
情報,を,消費
sxswi,で,する
方,に,する
考察,を,する
洞察,を,紹介
情報,を,消費
講演,で,説明
進化,を,説明
観点,から,説明
手本,と,なる
像,を,探す
気持ち,を,持つ
場,を,作る
たち,に,作る
やり取り,を,生まれる
複雑,に,満ちる
面,を,紹介
それ,を,見る
もの,より,受ける
影響,を,受ける
物事,を,見る
枠組み,を,変える
鍵,と,なる
なる,を,例証
物事,を,見る
web,を,見る
個人データ,に,利用
web,を,利用
関係,を,維持
役,に,立つ
活動,に,影響
私達,に,ある
アドオン,を,披露
水たまり,に,落ちる
様子,を,表現
作品,で,表現
自然,から,得る
ヒント,を,得る
的,と,いえる
ビデオ,を,楽しむ
時間,を,あやつる
波,を,つくる
オフィス,で,撮影
社会,を,終わる
社会,が,終わる
社会,に,終わる
トーク,で,示す
ステップ,を,示す
私達,に,持つ
ビジョン,を,持つ
悲劇,を,伝える
人,に,伝える
学校,から,帰る
奴隷制,に,尋ねる
仕事,で,やる
こと,を,やる
家,で,やる
物語,を,理解
事,で,もたらす
効果,に,語る
tedxphoenix,で,語る
手,を,乾かす
タオル,を,使う
中,で,紹介
テクニック,を,紹介
共,に,助ける
若者,を,助ける
ら,に,送る
メール,を,送る
実態,に,気付かす
問題,を,明かす
メール,で,明かす
メール,に,特化
機,に,設立
サービス,を,設立
期待,を,凌ぐ
命,を,救う
都市,を,導く
都市,を,導く
ポイント,を,示す
お金,で,買う
ケンブリッジ,に,話す
研究,に,話す
ため,に,使う
お金,を,使う
人,に,もたらす
恩恵,を,もたらす
データ,を,聞く
幸せ,を,買う
他,に,存在
映像,を,交える
問題,が,する
問題,を,する
問題,を,する
問題,と,する
方,を,考える
可能性,に,つながる
こと,を,示唆
歴史,を,調査
現代人,に,調査
こと,で,学べる
DNA,を,研究
意表,を,つく
調査対象,を,紹介
もと,に,探る
病気,を,探る
年,を,取る
研究,を,紹介
tedxwomen,で,紹介
年,を,とる
子孫,を,撮る
写真,に,撮る
エッセンス,を,とらえる
相互作用,に,形作る
トーク,で,探求
様子,を,探求
世界中,から,集める
物語,を,提示
裏,に,ある
電子メール,に,配信
ニュースリリース,を,配信
特許,を,持つ
企業,から,起こす
訴訟,を,起こす
そこ,で,闘う
それ,と,合わせる
こと,に,共有
統計,を,共有
トロール,を,やっつける
治療,を,施せる
目標,を,見失う
人,を,治す
実際,に,治す
医療,を,見つめる
方,を,示す
医療,を,治す
ため,に,なる
弁護士,に,なる
バンジョー,と,出会う
中国,を,まわる
ツアー,で,まわる
中,で,築く
歌,を,交える
ストーリー,を,聞く
配管,を,知る
命,に,関わる
大動脈,に,見つける
問題,を,見つける
時,に,合わせる
スキル,を,合わせる
方法,を,設計
心臓,を,修理
世間,で,呼ぶ
議論,を,呼ぶ
人数,を,調整
スピーチ,で,取り上げる
事例,を,取り上げる
年間,で,見直す
問題,を,見直す
コントロール,を,見直す
課題,と,見直す
幸せ,を,思いやる
行為,を,思う
面,で,共通
様子,を,とらえる
驚き,に,満ちる
映像,を,通す
行動,を,とる
形,を,取る
感情,を,伴う
.com,を,作る
たち,から,寄せる
葉書,で,寄せる
いくつ,を,紹介
急増,に,伴う
環境,に,与える
tedxtc,で,取り組む
tedxtc,に,取り組む
必要性,を,訴える
テクノロジー,を,融合
体内,で,融合
プレゼン,で,紹介
ステージ,で,する
デモンストレーション,を,する
スクリーン,に,映す
検体,を,開腹
こと,で,理解
仕組み,を,理解
本,を,判断
表紙,で,判断
本,を,体現
表紙,を,作る
ユーモア,を,もつ
講演,で,披露
思索,を,披露
キュレーター,を,務める
テクノロジー,に,期待
相手,に,望む
定義,を,研究
私達,に,問いかける
方,に,問いかける
人々,を,楽しむ
人間性,に,当てる
光,を,当てる
当てる,を,語る
マシン,で,作り出す
装置,を,組立てる
セット,と,想像
セット,を,想像
ブロック,に,なる
作成,を,変える
遊び,に,変える
こと,に,取り入れる
活動,に,取り入れる
ストーリー,を,語る
潜在能力,を,解放
資質,を,解き放つ
世界,を,変える
すばらしい,を,解き放つ
こと,に,挑戦
息,を,のむ
思考,で,コントロール
講演,で,紹介
数々,を,紹介
インターネット,を,作る
機関,を,動かす
失敗,を,恐れる
鍵,と,なる
電力,を,得る
ひらめき,を,与える
黒板,を,使う
トーク,で,説明
未来,を,説明
今まで,と,異なる
エネルギー,を,使える
本当,に,使える
医療,に,する
希望,を,する
こと,を,勧める
きっかけ,と,なる
問いかけ,を,提案
方,を,話し合う
詩,を,する
アニメーション,に,する
芸術的,を,見せる
プロジェクト,を,紹介
最後,に,登場
どちら,に,取り組む
時,に,作る
ガレージ,で,作る
炉,を,作る
歳,と,なる
依頼,に,応える
ステージ,で,語る
炉,を,作る
男性,より,亡くなる
心臓病,で,亡くなる
見過ごす,を,含める
こと,に,話す
％,を,消費
中,に,指摘
時代,に,対処
政府,に,見あたる
石油,に,頼る
橋渡し役,と,期待
事業,で,被る
基,に,頼れる
エネルギー,に,頼れる
一方,で,期待
後,に,展開
アンダーソン,と,展開
応答,を,展開
ガス,で,変革
エネルギー,を,変革
私たち,を,苦しめる
行動,を,引き起こす
大ヒット,と,なる
恥,に,向き合う
真っ向,から,向き合う
時,に,起きる
起きる,を,探る
中,に,光る
恥,に,考える
商標,を,発表
数字,を,使用
質問,を,する
超越,を,求める
自己,を,失う
こと,を,試みる
科学,を,見る
答え,を,提案
情熱,を,追える
口,に,する
ジョーク,を,交える
言い訳,を,斬る
口調,で,斬る
あなた,に,できる
世界,に,向ける
システム,を,紹介
舞台,で,与える
そこ,で,起こる
者,を,おそう
政府,を,運営
許可,を,待つ
政府,を,運営
市民,を,つなぐ
政府,と,つなぐ
やり方,と,言う
コーディング,で,作る
政府,を,作る
議論,に,関わる
話,を,する
なか,で,起こる
証拠,を,見せる
危惧,を,示す
変動,に,叫ぶ
ウォーリー,を,作る
始まり,へ,遡る
始まり,と,遡る
伝え方,に,教える
物語,を,創る
話,を,教える
真実,を,教える
経験,を,持つ
真実,から,語る
歴史,に,包む
説得力,を,語る
何,より,評価
講演,で,もたらす
世界,に,もたらす
能力,を,もたらす
研究室,で,開発
群れ,を,作る
存在,を,認識
チーム,を,組む
こと,を,こなす
ステージ,で,うったえる
理由,を,うったえる
技術革新,を,おこす
私たち,に,のしかかる
課題,を,解決
方法,を,見つける
資源,を,使う
上,で,住める
ギルディン,に,なる
通り,に,なる
こと,に,感じる
同時,に,感じる
長い,で,起こる
基準,を,呼ぶ
姿,を,示す
ステージ,で,示す
基準,を,下げる
結果,を,話す
私たち,に,話す
海,に,生息
生物,を,調査
発見,を,映し出す
写真,を,披露
ビデオ,に,考察
講演,で,語る
要素,に,語る
tedyouth,から,選ぶ
公開,に,伴う
医療機器,に,侵入
年,に,披露
ステージ,で,披露
インターフェース,を,披露
tedxwomen,で,する
話,を,する
妹,と,脱出
妹,で,脱出
ベトナム,を,脱出
生活,を,築く
お金,を,貯める
お金,を,使う
退職,に,貯蓄
行動,を,変える
行動,に,変える
ため,に,貯める
せい,で,やめる
こと,を,やめる
ipad,で,見る
者,を,案内
世界,へ,案内
技術,を,使う
こと,を,する
コミュニケーション,に,含む
作業,と,重なる
大衆,に,向ける
事実,を,訴える
コメディ,に,秘める
考え,を,示す
主義,を,示す
物体,を,通す
歴史,を,たどる
実際,に,見える
脅威,に,晒す
写真,を,見せる
地震,に,学ぶ
教訓,を,学ぶ
役,と,なる
情報,を,発信
活動,を,導く
中核,と,台頭
ステージ,で,紹介
テクノロジー,を,紹介
ウバザメ,に,わかる
ウバザメ,で,紹介
ウバザメ,に,紹介
サメ,を,救う
手法,に,紹介
ぶり,を,紹介
サメ,を,救う
スマートフォン,で,見つける
